Type,Name,Amount,Min,Max,Median,Mean,Std
Features,SVR.Power.TDP,1254,125,385,350,340.24322169059013,37.249839363803275
,SVR.CPU.Base Frequency,1254,0.8,3.4,2.6,2.509409888357257,0.4599949367476834
,SVR.CPU.Maximum Frequency,1254,1.9,4.3,3.8,3.834449761,0.1225942324823304
,SVR.CPU.All-core Maximum Frequency,1254,1.6,4.2,3.1,3.227272727272727,0.39688257748240235
,SVR.CPU.Thread(s) per Core,1254,2,2,2,2,0
,SVR.CPU.Core(s) per Socket,1254,8,60,48,44.07177033492823,10.437421955201208
,SVR.CPU.Socket(s),1254,2,2,2,2,0
,SVR.CPU.NUMA Node(s),1254,2,8,2,2.017543859649123,0.2613948023349507
,SVR.CPU.L1d Cache,1254,1.9,960,48,45.62113237639553,65.37915916639994
,SVR.CPU.L1i Cache,1254,1.3,640,32,30.41347687400319,43.58648155671491
,SVR.CPU.L2 Cache,1254,40,2048,2048,1750.6347687400319,687.2325005089901
,SVR.CPU.L3 Cache,1254,52.5,115200,99840,76345.02392344497,38022.24893002185
,SVR.Power.Frequency (MHz),1254,800,3970,2600,2791.951355661882,647.2047897924755
,SVR.Memory.MemFree,1254,163001796,3151664320,809863042,815474287.2535886,400590796.5
,Measure.DIMM.Num,1254,16,32,16,16.567783094098882,2.9483094614994623
,Measure.DIMM.Total,1254,320,3072,1024,834.4242424242424,382.24852282610243
,Measure.DIMM.Freq,1254,4000,4800,4800,4740.031897926635,165.23556601954502
,QDF.AVX FMA Execution Unit Count,1254,1,2,2,1.9984051036682615,0.039920213796300036
,QDF.AVX2 All Core Turbo Freq Rate,1254,1.5,4,3,3.0793460925039877,0.3436054361718422
,QDF.AVX3 All Core Turbo Freq Rate,1254,1.5,3.8,2.8,2.884928229665072,0.4090020006123731
,QDF.AVX3 Deterministic P1 Freq Rte,1254,0.8,3,1.5,1.6216108452950557,0.38832148060657584
,QDF.All Core Turbo Freq Rate,1254,1.6,4.2,3.1,3.227272727272727,0.39688257748240235
,QDF.CLM P0 Max Freq,1254,1.6,2.5,2.5,2.4853269537480065,0.079553904
,QDF.CLM P1 Max Freq,1254,1,1.8,1.4,1.422647527910686,0.067309545
,QDF.Max Turbo Frequency Rate,1254,1.9,4.3,3.8,3.834449761,0.1225942324823304
,QDF.Max UPI Port Cnt,1254,2,4,4,3.5334928229665072,0.5194488003773016
,QDF.TMUL All Core Turbo Freq Rate,1254,1.5,3.6,2.4,2.5015948963317385,0.41768259141680253
,QDF.TMUL Deterministic P1 Freq Rte,1254,0.8,2.8,1.4,1.5384370015948963,0.39306369896879056
,QDF.Thermal Design Power,1254,125,385,350,340.24322169059013,37.249839363803275
Labels,503.bwaves_r,1254,478.3800049,1626.050049,1049.080017,1007.940893,96.83918813
,507.cactuBSSN_r,1254,106.0599976,488.269989,428.125,417.5093781,58.07062894
,508.namd_r,1254,92.91000366,516.8800049,468.4400024,441.3421454,75.74573804
,510.parest_r,1254,102.6900024,361.4599915,320.9499969,314.6714593,37.20595591
,511.povray_r,1254,149.4700012,756.0999756,690.1650085,652.97901,103.7427091
,519.lbm_r,1254,57.95999908,256.019989,110.1850014,105.0411484,11.77615235
,521.wrf_r,1254,98.23999786,457.1099854,402.5950012,391.2262281,55.70755251
,526.blender_r,1254,135.3000031,696.9699707,619.6600037,590.940135,93.03943524
,527.cam4_r,1254,119.9899979,614.1699829,507.4850006,492.9210365,72.59006373
,538.imagick_r,1254,119.1399994,682.0200195,616.5200195,576.2978222,103.0343778
,544.nab_r,1254,142.1799927,831.8900146,708.8900146,672.7925932,115.2030416
,549.fotonik3d_r,1254,152.1399994,535.460022,297.3950043,294.1225517,30.46442054
,554.roms_r,1254,80.52999878,262.769989,225.8949966,220.1645295,25.28562777
,SPECrate2017_fp_base,1254,123.0400009,474.1900024,428.5639954,415.7763787,53.9666825
