RESULT.TestName,Amount,Min,Max,Median,Mean,Std
503.bwaves_r,1254,478.3800048828125,1626.050048828125,1049.0800170898438,1007.9408934865462,96.83918813355419
507.cactuBSSN_r,1254,106.05999755859376,488.2699890136719,428.125,417.50937807122676,58.07062893965607
508.namd_r,1254,92.91000366210938,516.8800048828125,468.4400024414063,441.34214537527765,75.74573803580594
510.parest_r,1254,102.69000244140624,361.4599914550781,320.9499969482422,314.67145925275446,37.205955914495206
511.povray_r,1254,149.47000122070312,756.0999755859375,690.1650085449219,652.9790099659605,103.7427090789196
519.lbm_r,1254,57.959999084472656,256.0199890136719,110.18500137329102,105.04114837585644,11.776152350578
521.wrf_r,1254,98.23999786376952,457.1099853515625,402.5950012207031,391.2262280599542,55.707552505333084
526.blender_r,1254,135.3000030517578,696.969970703125,619.6600036621094,590.9401349762791,93.03943523554761
527.cam4_r,1254,119.98999786376952,614.1699829101562,507.48500061035156,492.92103653319145,72.59006372512448
538.imagick_r,1254,119.13999938964844,682.02001953125,616.52001953125,576.2978221765545,103.03437777545658
544.nab_r,1254,142.17999267578125,831.8900146484375,708.8900146484375,672.7925931817987,115.20304158562966
549.fotonik3d_r,1254,152.13999938964844,535.4600219726562,297.39500427246094,294.12255173094536,30.46442054260502
554.roms_r,1254,80.52999877929688,262.7699890136719,225.8949966430664,220.1645295114228,25.285627768595038
SPECrate2017_fp_base,1254,123.04000091552734,474.1900024414063,428.5639953613281,415.7763786680961,53.96668249931642
